f_preferred_name,Fe,C,O,Mg,Si,S,Ca,Ti,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
HIP 87382 ,0.06 ,0.021 ,0.113 ,0.023 ,0.021 ,0.01 ,0.089 ,0.055 ,267.8084264 ,40.0724635 ,-0.975 ,-25.488 ,21.458 ,33.33 ,thin ,F8V ,6.55 ,0.541 ,-0.90 ,0.70 ,3.50 ,6163.0 ,4.33 ,1.19 ,1.29 ,
2MASS 19290895+4311502 ,0.08 ,-0.02 ,0.19 ,-0.04 ,0.03 ,,0.19 ,0.07 ,292.2872878 ,43.1972667 ,392.254 ,-957.019 ,971.167 ,1418.77 ,N/A ,,,,,,,6011.9 ,3.76 ,1.11 ,2.31 ,
HIP 98314 ,-0.345 ,-0.45 ,-0.24 ,-0.125 ,-0.22 ,-0.1 ,-0.24 ,-0.25 ,299.6359045 ,7.9206766 ,46.612 ,-81.933 ,13.115 ,95.17 ,thin ,K0 ,6.77 ,0.902 ,28.60 ,47.50 ,-14.90 ,5002.0 ,3.13 ,,5.74 ,
HIP 98316 ,-0.04 ,-0.07 ,,0.0165 ,-0.013 ,,0.03 ,0.223 ,299.6374341 ,-54.9368916 ,6.707 ,-11.789 ,-19.326 ,23.61 ,N/A ,K3+V ,8.54 ,1.050 ,,,,4739.5 ,4.33 ,0.76 ,0.75 ,
HIP 106931 ,-0.16 ,-0.08 ,-0.065 ,-0.015 ,-0.125 ,0.16 ,-0.14 ,-0.08 ,324.8371967 ,-37.1410486 ,25.086 ,-17.672 ,-23.242 ,38.49 ,thin ,G6V ,8.06 ,0.684 ,-46.20 ,-16.50 ,18.20 ,5575.0 ,4.46 ,0.98 ,0.95 ,
HIP 65550 ,-0.035 ,-0.265 ,-0.07 ,-0.055 ,0.06 ,0.3 ,0.005 ,-0.045 ,201.5691765 ,46.0280571 ,-72.206 ,-28.543 ,80.480 ,111.83 ,thin ,K0III: ,5.88 ,0.985 ,20.70 ,4.40 ,6.10 ,4933.0 ,,,10.68 ,
HIP 98329 ,-0.05 ,-0.11 ,,-0.053 ,-0.033 ,,0.005 ,0.078 ,299.6662803 ,-19.9356416 ,21.924 ,-38.490 ,-16.066 ,47.12 ,N/A ,K1V ,9.38 ,0.866 ,,,,5094.0 ,4.36 ,0.85 ,0.81 ,
HIP 98333 ,-0.18 ,-0.23 ,-0.19 ,-0.15 ,-0.23 ,,-0.1 ,-0.23 ,299.6743739 ,70.3669510 ,24.332 ,-42.703 ,137.776 ,146.28 ,thin ,G8III ,6.32 ,0.868 ,-42.60 ,-18.30 ,-11.10 ,5154.0 ,,,10.15 ,
HIP 98337 ,-0.17 ,,,0.152 ,0.11 ,,-0.282 ,-0.296 ,299.6892843 ,19.4921465 ,37.569 ,-65.894 ,26.849 ,80.46 ,thin ,M0-III ,3.47 ,1.571 ,-35.80 ,-19.40 ,-13.70 ,3944.4 ,1.25 ,,,
HIP 65574 ,-0.175 ,-0.08 ,-0.01 ,-0.1585 ,-0.1495 ,0.43 ,-0.1215 ,-0.02 ,201.6648216 ,-24.2933726 ,-25.383 ,-10.083 ,-12.328 ,29.96 ,thin ,K2.5V(k) ,8.78 ,0.920 ,-42.20 ,-26.90 ,-8.20 ,4951.5 ,4.49 ,0.81 ,0.74 ,
